"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","tub_accessrights","tub_affiliation","doi"
"oai:depositonce.tu-berlin.de:11303/20904","2023-12-21T07:13:41Z","https://creativecommons.org/licenses/by-nc/4.0/",2,0,0,3,2,0,2,1,0,3,1,0,7,1,1,1,2,"10.14279/depositonce-19702"
"oai:depositonce.tu-berlin.de:11303/12980","2021-06-04T12:39:33Z","https://creativecommons.org/publicdomain/zero/1.0/",3,0,0,3,1,0,2,1,0,1,1,0,10,1,1,1,3,"10.14279/depositonce-11775"
"oai:depositonce.tu-berlin.de:11303/12535","2021-03-12T09:13:28Z","https://creativecommons.org/licenses/by-sa/4.0/",4,0,0,3,1,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-11354"
"oai:depositonce.tu-berlin.de:11303/13568","2021-11-10T09:11:47Z","https://creativecommons.org/licenses/by-nc/4.0/",4,0,0,3,1,0,2,1,0,1,1,0,5,1,1,1,4,"10.14279/depositonce-12355"
"oai:depositonce.tu-berlin.de:11303/8107","2018-08-17T06:45:27Z","http://rightsstatements.org/vocab/InC/1.0/",3,0,0,3,2,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-7268"
"oai:depositonce.tu-berlin.de:11303/11235","2020-05-27T13:03:47Z","https://choosealicense.com/licenses/gpl-3.0/",3,0,0,3,1,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-10123"
"oai:depositonce.tu-berlin.de:11303/20674","2023-11-29T08:10:05Z","https://creativecommons.org/licenses/by/4.0/",6,0,0,3,3,0,2,1,0,1,1,0,14,1,1,1,2,"10.14279/depositonce-19472"
"oai:depositonce.tu-berlin.de:11303/18998","2023-05-10T06:36:50Z","https://creativecommons.org/licenses/by-sa/4.0/",1,0,0,3,2,0,2,1,0,1,1,0,6,1,1,1,1,"10.14279/depositonce-17798"
"oai:depositonce.tu-berlin.de:11303/13262","2021-06-29T07:26:57Z","https://creativecommons.org/licenses/by/4.0/",3,0,0,3,2,0,2,1,0,1,1,0,9,1,1,1,4,"10.14279/depositonce-12054"
"oai:depositonce.tu-berlin.de:11303/19670","2023-07-31T11:20:21Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-18469"
"oai:depositonce.tu-berlin.de:11303/20326","2023-10-19T07:59:09Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,1,0,1,1,0,11,1,1,1,1,"10.14279/depositonce-19124"
"oai:depositonce.tu-berlin.de:11303/20205","2023-10-13T13:41:04Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,1,0,2,1,0,8,1,1,1,1,"10.14279/depositonce-19003"
"oai:depositonce.tu-berlin.de:11303/13716","2021-10-14T08:59:08Z","https://creativecommons.org/licenses/by/4.0/",4,0,0,3,2,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-12492"
"oai:depositonce.tu-berlin.de:11303/10104","2019-10-15T10:20:30Z","https://creativecommons.org/licenses/by-nc/4.0/",2,0,0,3,2,0,2,1,0,1,1,0,9,1,1,1,4,"10.14279/depositonce-9092"
