"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dcterms_accessRights","dcterms_spatial","dcterms_temporal","refubium_affiliation","refubium_funding","refubium_isSupplementTo","refubium_note","refubium_resourceType","refubium_series","doi"
"oai:refubium.fu-berlin.de:fub188/29794","2020","https://creativecommons.org/public-domain/cc0/",6,0,0,1,1,0,2,1,1,0,1,0,6,2,1,1,0,0,2,0,0,0,0,0,"10.17169/refubium-29536"
"oai:refubium.fu-berlin.de:fub188/41026","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,1,0,2,1,1,0,1,0,3,1,1,1,0,0,2,1,0,0,0,0,"10.17169/refubium-40747"
"oai:refubium.fu-berlin.de:fub188/27548","2020","https://creativecommons.org/licenses/by-nd/4.0/",1,1,0,1,2,0,2,3,1,0,1,0,9,2,1,1,6,1,2,4,1,1,0,0,"10.17169/refubium-27303"
"oai:refubium.fu-berlin.de:fub188/43126","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,1,0,2,1,1,0,1,0,5,1,1,1,0,0,2,4,0,0,0,0,"10.17169/refubium-42842"
"oai:refubium.fu-berlin.de:fub188/28479","2020","https://creativecommons.org/licenses/by-nc-nd/4.0/",8,0,0,1,1,0,2,1,1,0,1,0,5,2,1,1,0,1,2,0,1,0,0,0,"10.17169/refubium-28228"
"oai:refubium.fu-berlin.de:fub188/36169","2022","https://creativecommons.org/licenses/by-nc/4.0/",2,0,0,1,1,0,2,1,1,0,1,0,10,1,1,1,0,0,2,0,1,1,0,0,"10.17169/refubium-35885"
"oai:refubium.fu-berlin.de:fub188/38558","2023","https://creativecommons.org/public-domain/cc0/",6,5,0,1,2,0,2,1,1,0,1,0,17,1,1,1,1,1,2,0,0,0,0,0,"10.17169/refubium-38274"
"oai:refubium.fu-berlin.de:fub188/44500","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,2,0,2,2,1,0,1,0,9,1,1,1,1,0,2,0,2,0,0,0,"10.17169/refubium-44212"
"oai:refubium.fu-berlin.de:fub188/38563","2023","https://creativecommons.org/public-domain/cc0/",6,5,0,1,2,0,2,1,1,0,1,0,17,1,1,1,1,1,2,0,0,0,0,0,"10.17169/refubium-38279"
"oai:refubium.fu-berlin.de:fub188/41975","2023","https://creativecommons.org/licenses/by-nc/4.0/",3,0,0,1,2,0,2,2,1,0,1,0,4,4,1,1,0,0,2,0,1,0,0,0,"10.17169/refubium-41698"
"oai:refubium.fu-berlin.de:fub188/34794","2022","https://creativecommons.org/licenses/by/4.0/",6,0,0,1,3,0,2,2,1,0,1,0,6,1,1,1,1,1,4,1,0,0,0,0,"10.17169/refubium-34513"
"oai:refubium.fu-berlin.de:fub188/27813","2020","https://creativecommons.org/licenses/by-sa/4.0/",31,0,0,1,1,0,2,4,1,0,1,0,10,2,1,1,1,1,4,2,4,0,0,0,"10.17169/refubium-27566"
